organisme,jeu de données,url accueil,date MAJ annuelle,récurrence annuelle,fiabilité
IGN,Admin Express,geoservice.ign.fr/adminExpress,15/03/2023,,
Etalab,Cadastre PCI,cadastre.data.gouv.fr,01/01/2023,3 mois,+15 jours (selon délai réception données et traitements)
